"sender","requestkey","data","code","result","creationtime"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,DlsmEkYNKuSR5lHAzRCxRdGvGTjWC-ZPtRNJzCbx7Kk,"{""k"": {""keys"": [""78061b1943a218e0cb1ed9c55c528fc2aee29a604bb7159673604a986dca7a13""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-zUSD-M.buy-post-only \""k:78061b1943a218e0cb1ed9c55c528fc2aee29a604bb7159673604a986dca7a13\"" (read-keyset 'k) 0.012000000000 827.375130000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788192"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,KOBgeB2JDPSL85Y1agnw0vVKtNFfyY1xeMqbnSWCjSI,"{}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order 1885870536506856152619)""","{""data"": true, ""status"": ""success""}","1749788195"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,K229qnfxXLaVDK5G7GTsJx-ijHDAI-DCJMhADAH32Yk,"{}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order 1842936295742772752780)""","{""error"": {""info"": ""n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order.{AoqsO-OtT1Ti9bi8Df2_od66YWAvh3greIIGlz1QDPo}:370"", ""type"": ""TxFailure"", ""message"": ""Order not in active state"", ""callStack"": []}, ""status"": ""failure""}","1749788195"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,qpffOovD6dSmbrICJmrMzwG_rJfz6fmU-UTQsYJ3S4I,"{""k"": {""keys"": [""bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.sell-post-only \""k:bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c\"" (read-keyset 'k) 0.018600000000 10192633.000000000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788194"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,"7TEID67u3X5qFlOkhNFVULgmk8oYHl1TxWFyWCwrrG8","{""k"": {""keys"": [""f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.buy-post-only \""k:f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662\"" (read-keyset 'k) 0.011500000000 8684254.800000000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788195"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,"6A7GWXIx1LIn-XmDfs25VW-CVQ4nlIc4e5fJbZSUGrQ","{""k"": {""keys"": [""bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.sell-post-only \""k:bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c\"" (read-keyset 'k) 0.002580000000 9488825.300000000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788193"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,IiloZZGcMSdglgje617M0UCYCL5yo9DebzZRRJW5-pk,"{""k"": {""keys"": [""f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.buy-post-only \""k:f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662\"" (read-keyset 'k) 0.012100000000 8414211.700000000000)""","{""error"": {""info"": ""n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron.debit.{-mOSJ41JJMY5fXiq1dTWqnowgyRk-PlX0jf3ZqiMRD4}:0"", ""type"": ""TxFailure"", ""message"": ""Insufficient funds"", ""callStack"": []}, ""status"": ""failure""}","1749788195"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,CA5H6fCCBCf6JqtKhp8xA-PpQqq7B5Rx05BOA1czkb0,"{""k"": {""keys"": [""76390ee8a4bfe0005664cd619b14ddd4635271144b9428292e65ba041ec921c1""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-KDA-M.sell-post-only \""k:76390ee8a4bfe0005664cd619b14ddd4635271144b9428292e65ba041ec921c1\"" (read-keyset 'k) 0.029900000000 2501.193100000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788271"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,ObTVGdMfPka5SEChMeKuSr6Fwlk7NLcOjzp7mKaWA1Y,"{""k"": {""keys"": [""f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.buy-post-only \""k:f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662\"" (read-keyset 'k) 0.011900000000 8441061.200000000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788275"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,yP94rvUWh9qs5-hzV82ojFI2suCxOrUL3TnnxDWfUSw,"{""k"": {""keys"": [""bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c""], ""pred"": ""keys-all""}}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-wrapper-BRO-HERON-M.sell-post-only \""k:bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c\"" (read-keyset 'k) 0.010900000000 9116503.200000000000)""","{""data"": ""DEX Order successful"", ""status"": ""success""}","1749788274"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,hBpJrXbXXAqaan9MtZhPBXIFlXVBp06kY1SHuO5jIy8,"{}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order 3535830172627140963451)""","{""data"": true, ""status"": ""success""}","1749791150"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,sqGD3UC_KKxuWc5oo5BOaM13aDbEic0z2dhPBNdf9Lg,"{}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order 1575773908359529616963)""","{""data"": true, ""status"": ""success""}","1749791148"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,ixyXzFj7p-02pLRE7KZG032EfcayzbsiBfMbbgfcluI,"{}","""(n_f6aa9328b19b8bf7e788603bd669dcf549e07575.bro-dex-core-BRO-HERON-M.cancel-order 2491622011971803157915)""","{""data"": true, ""status"": ""success""}","1749791148"
